"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.1","0","0.0","0.00"
"02","1.4","37","0.0","0.00"
"03","4.5","37","0.0","0.00"
"04","2.8","47","0.0","0.00"
"05","2.9","98","0.0","0.00"
"06","2.9","29","0.0","0.00"
"07","2.8","103","0.5","0.00"
"08","0.8","354","1.0","0.00"
"09","4.2","78","2.5","0.10"
"10","5.3","62","0.5","0.10"
"11","4.4","41","0.5","0.20"
"12","4.4","1","1.0","0.30"
"13","3.7","31","0.0","0.30"
"14","3.5","18","0.5","0.40"
"15","3.6","39","0.0","0.30"
"16","2.3","52","0.0","0.20"
"17","1.3","24","0.0","0.00"
"18","2.0","330","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.9","74","0.5","0.00"
"22","1.3","14","1.0","0.00"
"23","2.1","8","0.0","0.00"
"24","1.5","314","0.0","0.00"
