"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1004.8","25.4","97","0.0","0","0.9","198","0.0","0.00"
"02","1004.2","25.4","98","0.0","0","1.2","206","0.0","0.00"
"03","1004.2","25.4","97","0.0","0","0.0","0","0.0","0.00"
"04","1004.3","24.9","98","0.0","0","0.0","0","0.0","0.00"
"05","1004.7","24.8","99","0.0","0","0.0","0","0.0","0.00"
"06","1005.6","24.6","100","0.0","0","0.0","0","0.0","0.00"
"07","1005.9","27.7","89","0.2","0","1.5","221","0.0","0.40"
"08","1006.5","31.0","74","0.4","248","2.2","214","0.0","1.20"
"09","1006.6","32.7","66","0.4","204","1.9","197","0.0","2.00"
"10","1006.2","33.5","62","0.5","159","1.7","144","0.0","2.70"
"11","1005.7","34.2","63","0.8","84","2.9","94","0.0","3.20"
"12","1005.4","34.7","59","1.2","53","3.3","106","0.0","3.50"
"13","1004.8","34.8","56","1.1","32","3.5","119","0.0","3.50"
"14","1004.7","34.7","55","1.0","45","3.1","67","0.0","3.10"
"15","1004.5","33.9","60","0.5","76","2.4","45","0.0","2.20"
"16","1004.5","34.2","59","0.7","36","2.8","40","0.0","1.40"
"17","1005.0","32.0","69","0.1","0","1.9","57","0.0","0.80"
"18","1005.7","29.1","83","0.0","0","1.2","212","0.0","0.10"
"19","1005.1","27.7","90","0.0","0","0.6","111","0.0","0.00"
"20","1005.5","26.8","94","0.0","0","0.0","0","0.0","0.00"
"21","1004.9","26.3","96","0.0","0","0.0","0","0.0","0.00"
"22","1005.5","26.2","96","0.0","0","0.9","259","0.0","0.00"
"23","1005.7","26.1","96","0.1","0","1.2","273","0.0","0.00"
"24","1005.5","25.8","96","0.0","0","1.2","273","0.0","0.00"
