"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.6","274","0.0","0.00"
"02","1.2","271","0.0","0.00"
"03","1.5","231","0.0","0.00"
"04","1.6","223","0.0","0.00"
"05","1.3","240","0.0","0.00"
"06","1.6","215","0.0","0.00"
"07","1.5","230","0.0","0.00"
"08","1.7","230","0.0","0.50"
"09","2.6","207","0.0","1.40"
"10","2.3","199","0.0","2.20"
"11","2.6","136","0.0","2.80"
"12","3.0","153","0.0","2.90"
"13","3.2","81","0.0","1.50"
"14","2.6","99","0.0","0.60"
"15","3.4","160","0.0","0.40"
"16","2.4","76","0.0","0.10"
"17","1.9","140","0.0","0.00"
"18","1.8","315","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.4","43","0.0","0.00"
"22","0.9","297","0.0","0.00"
"23","0.5","287","0.0","0.00"
"24","0.5","288","0.0","0.00"
