"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","3.9","357","0.0","0.00"
"02","2.3","21","0.0","0.00"
"03","2.8","35","0.0","0.00"
"04","1.9","33","0.0","0.00"
"05","2.0","25","0.0","0.00"
"06","1.6","67","0.0","0.00"
"07","0.8","52","0.0","0.00"
"08","1.0","52","0.0","0.10"
"09","1.2","21","0.0","0.20"
"10","1.3","41","0.0","0.30"
"11","0.9","345","0.0","0.40"
"12","1.7","45","0.0","0.70"
"13","2.5","354","0.0","1.10"
"14","2.8","63","0.0","1.10"
"15","1.9","351","0.0","0.60"
"16","2.3","96","0.0","0.10"
"17","1.8","35","0.0","0.00"
"18","2.1","309","0.0","0.00"
"19","0.8","201","0.0","0.00"
"20","0.5","144","0.0","0.00"
"21","0.9","336","0.0","0.00"
"22","0.4","336","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.0","0","0.0","0.00"
