"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.8","22.1","99","0.0","0","1.4","217","0.0","0.00"
"02","1005.2","21.9","99","0.0","0","1.1","326","0.0","0.00"
"03","1004.9","21.7","99","0.0","0","0.8","260","0.0","0.00"
"04","1004.6","21.6","100","0.0","0","0.8","259","0.0","0.00"
"05","1004.7","21.3","100","0.0","0","1.2","266","0.0","0.00"
"06","1005.1","20.9","100","0.1","0","1.0","219","0.0","0.00"
"07","1005.5","22.7","99","0.5","232","2.4","248","0.0","0.40"
"08","1005.9","25.4","82","0.9","224","3.1","212","0.0","1.20"
"09","1006.2","28.1","71","0.9","234","3.5","219","0.0","2.00"
"10","1006.0","29.5","67","0.8","219","4.2","209","0.0","2.50"
"11","1005.3","31.5","55","0.5","216","3.0","221","0.0","3.10"
"12","1004.7","31.3","68","1.0","181","4.4","129","0.0","3.20"
"13","1003.9","31.8","65","0.7","136","3.7","212","0.0","3.20"
"14","1003.6","31.5","64","0.8","159","3.6","87","0.0","2.30"
"15","1003.5","31.0","67","0.4","161","2.9","79","0.0","1.70"
"16","1003.2","30.9","66","0.6","169","1.7","102","0.0","1.20"
"17","1003.5","28.3","76","0.5","335","2.0","63","0.0","0.30"
"18","1003.8","27.0","87","0.0","0","2.8","328","0.0","0.10"
"19","1004.4","25.4","93","0.0","0","1.0","13","0.0","0.00"
"20","1005.1","24.9","97","0.0","0","0.0","0","0.0","0.00"
"21","1005.8","24.4","98","0.0","0","0.0","0","0.0","0.00"
"22","1006.6","23.9","99","0.0","0","0.0","0","0.0","0.00"
"23","1006.5","23.7","99","0.0","0","0.0","0","0.0","0.00"
"24","1006.2","22.9","99","0.0","0","0.4","18","0.0","0.00"
