"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","2.0","254","0.0","0.00"
"02","1.7","236","1.5","0.00"
"03","1.1","285","0.0","0.00"
"04","1.0","278","0.0","0.00"
"05","0.8","268","0.5","0.00"
"06","1.7","191","4.5","0.00"
"07","2.3","251","3.0","0.00"
"08","0.6","245","1.5","0.00"
"09","1.3","215","0.5","0.20"
"10","1.7","265","0.5","0.70"
"11","1.6","251","0.0","1.20"
"12","1.6","26","0.0","0.80"
"13","1.1","354","0.5","0.80"
"14","2.7","17","0.5","1.60"
"15","2.8","16","0.0","0.90"
"16","2.1","21","0.0","0.10"
"17","2.7","15","0.0","0.00"
"18","2.0","339","0.0","0.00"
"19","2.0","286","0.0","0.00"
"20","0.7","307","0.0","0.00"
"21","1.3","274","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.0","0","0.5","0.00"
