"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.0","234","0.0","0.00"
"02","0.9","234","0.0","0.00"
"03","1.7","220","0.0","0.00"
"04","2.2","201","0.0","0.00"
"05","2.3","208","0.0","0.00"
"06","2.3","220","0.0","0.00"
"07","1.8","233","0.0","0.00"
"08","1.8","198","0.0","0.20"
"09","2.0","230","0.0","0.60"
"10","1.9","236","0.0","0.70"
"11","2.3","115","0.0","0.60"
"12","2.4","97","0.0","0.30"
"13","2.6","77","0.0","0.30"
"14","2.0","321","0.0","0.30"
"15","2.0","44","0.0","0.30"
"16","1.8","8","0.0","0.10"
"17","1.0","329","0.0","0.00"
"18","0.0","0","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.3","318","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.4","318","0.0","0.00"
"24","0.2","0","0.0","0.00"
