"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1004.4","24.1","100","0.0","0","2.1","1","0.5","0.00"
"02","1004.2","24.0","100","0.0","0","2.3","289","7.0","0.00"
"03","1003.2","24.2","100","0.0","0","0.1","0","0.0","0.00"
"04","1001.9","24.3","100","0.0","0","0.8","293","0.0","0.00"
"05","1001.3","24.3","100","0.0","0","0.5","227","0.0","0.00"
"06","1002.1","24.3","100","0.7","240","4.3","255","4.0","0.00"
"07","1004.4","23.7","100","0.8","67","6.0","80","18.5","0.00"
"08","1004.8","23.6","100","0.0","0","4.4","354","0.5","0.00"
"09","1003.8","24.5","100","0.2","0","1.7","263","0.0","0.40"
"10","1004.0","25.1","100","0.1","0","1.8","140","0.5","0.40"
"11","1003.1","25.7","98","0.1","0","1.7","115","0.0","0.50"
"12","1002.5","27.5","93","0.3","41","2.3","18","0.0","0.90"
"13","1001.4","28.0","90","0.7","26","3.8","23","0.0","0.60"
"14","1001.5","26.5","95","0.2","0","4.3","67","6.0","0.50"
"15","1001.3","23.6","100","0.1","0","6.9","266","8.0","0.00"
"16","1001.4","24.2","100","0.0","0","2.1","330","1.5","0.20"
"17","1001.2","24.3","100","0.0","0","1.8","327","0.0","0.10"
"18","1001.4","24.3","100","0.0","0","0.4","350","0.5","0.00"
"19","1003.2","23.0","100","1.0","241","7.1","241","7.0","0.00"
"20","1002.7","23.0","100","0.2","0","2.9","222","2.0","0.00"
"21","1002.6","23.2","100","0.1","0","1.6","225","0.0","0.00"
"22","1002.7","23.2","100","0.6","232","2.7","207","1.0","0.00"
"23","1001.9","23.2","100","0.0","0","3.2","290","4.0","0.00"
"24","1002.3","23.4","100","0.3","203","2.7","314","2.0","0.00"
