"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","3.3","312","1.5","0.00"
"02","1.0","332","0.0","0.00"
"03","3.0","321","0.5","0.00"
"04","2.0","333","0.0","0.00"
"05","1.4","270","0.0","0.00"
"06","2.8","80","0.0","0.00"
"07","2.7","211","0.0","0.00"
"08","2.7","234","0.0","0.00"
"09","3.6","38","0.0","0.10"
"10","2.6","62","0.0","0.30"
"11","2.2","274","0.0","0.30"
"12","3.3","87","0.0","0.40"
"13","2.2","288","0.0","0.20"
"14","2.2","240","0.0","0.10"
"15","1.6","99","0.0","0.10"
"16","2.9","284","0.0","0.10"
"17","1.9","349","0.0","0.00"
"18","2.7","335","0.0","0.00"
"19","2.4","278","0.0","0.00"
"20","1.5","303","0.0","0.00"
"21","1.7","229","0.0","0.00"
"22","0.4","230","0.0","0.00"
"23","1.0","225","0.0","0.00"
"24","0.6","274","0.0","0.00"
