"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.6","27","0.0","0.00"
"02","1.3","5","0.0","0.00"
"03","0.0","0","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.8","40","0.0","0.00"
"06","0.5","40","0.0","0.00"
"07","0.7","40","0.0","0.00"
"08","1.1","40","0.0","0.10"
"09","1.7","37","0.0","0.30"
"10","1.3","132","0.0","0.50"
"11","1.6","21","0.0","0.60"
"12","1.6","26","0.0","0.60"
"13","1.9","93","0.0","0.40"
"14","2.3","42","0.0","0.50"
"15","2.1","78","0.0","0.30"
"16","1.8","340","0.0","0.20"
"17","2.1","15","0.0","0.10"
"18","0.6","336","0.0","0.00"
"19","0.5","353","0.0","0.00"
"20","0.7","353","0.0","0.00"
"21","0.9","353","0.0","0.00"
"22","0.5","353","0.5","0.00"
"23","1.2","229","0.0","0.00"
"24","1.5","232","0.0","0.00"
