"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","4.4","348","0.0","0.00"
"02","1.7","360","0.0","0.00"
"03","1.6","261","0.0","0.00"
"04","2.5","303","0.0","0.00"
"05","3.0","329","0.5","0.00"
"06","2.0","251","0.0","0.00"
"07","1.4","242","0.0","0.00"
"08","1.2","248","0.5","0.10"
"09","1.5","246","0.0","0.50"
"10","2.3","207","0.0","1.10"
"11","2.0","150","0.0","0.90"
"12","2.8","16","0.5","1.10"
"13","1.7","268","0.5","0.40"
"14","1.3","326","0.0","0.50"
"15","1.4","6","0.0","0.40"
"16","0.6","360","0.0","0.20"
"17","0.6","360","0.0","0.10"
"18","0.9","10","0.0","0.00"
"19","0.6","11","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.0","0","0.5","0.00"
"22","0.1","0","0.0","0.00"
"23","0.5","5","0.0","0.00"
"24","0.3","5","0.0","0.00"
