"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","2.8","47","0.5","0.00"
"02","3.3","37","1.0","0.00"
"03","4.0","44","1.0","0.00"
"04","5.4","35","1.0","0.00"
"05","4.3","32","1.0","0.00"
"06","3.5","54","0.5","0.00"
"07","2.7","67","0.5","0.00"
"08","2.5","49","0.0","0.10"
"09","3.1","39","0.0","0.40"
"10","3.2","37","0.0","0.70"
"11","3.6","23","0.0","0.60"
"12","3.2","4","0.0","0.80"
"13","3.1","292","0.0","0.70"
"14","2.2","254","0.0","0.70"
"15","3.2","98","0.0","0.50"
"16","2.6","79","0.0","0.50"
"17","3.9","88","0.0","0.20"
"18","2.9","81","0.0","0.00"
"19","3.6","39","0.0","0.00"
"20","3.3","69","0.0","0.00"
"21","4.1","22","0.0","0.00"
"22","1.2","331","0.0","0.00"
"23","0.9","333","0.0","0.00"
"24","0.7","333","0.0","0.00"
