"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1009.4","21.2","98","0.0","0","0.4","353","0.0","0.00"
"02","1009.3","21.1","98","0.0","0","0.5","351","0.0","0.00"
"03","1009.2","21.1","98","0.0","0","0.0","0","0.0","0.00"
"04","1009.6","21.0","99","0.0","0","0.0","0","0.0","0.00"
"05","1009.7","21.1","99","0.0","0","0.4","347","0.0","0.00"
"06","1010.4","21.4","99","0.0","0","0.3","347","0.0","0.00"
"07","1010.8","23.4","94","0.0","0","0.7","346","0.0","0.60"
"08","1011.2","25.2","77","0.4","254","1.7","140","0.0","1.30"
"09","1011.3","26.6","71","1.0","100","2.1","89","0.0","2.20"
"10","1011.6","27.4","69","1.2","52","3.1","83","0.0","2.70"
"11","1011.4","27.8","68","1.4","81","4.1","119","0.0","2.60"
"12","1011.1","27.9","69","1.2","57","4.4","115","0.0","3.20"
"13","1010.7","27.7","70","1.3","78","5.5","66","0.0","3.50"
"14","1010.5","27.1","70","1.1","63","4.8","126","0.0","3.00"
"15","1010.3","25.6","74","1.4","78","4.3","114","0.0","1.30"
"16","1010.5","24.9","75","1.0","61","4.1","31","0.0","0.60"
"17","1010.9","24.6","76","0.6","70","4.2","99","0.0","0.30"
"18","1011.7","24.1","78","0.1","0","2.5","33","0.0","0.00"
"19","1012.0","23.6","80","0.1","0","2.1","46","0.0","0.00"
"20","1012.5","22.7","84","0.0","0","0.8","107","0.0","0.00"
"21","1013.1","22.3","89","0.0","0","0.0","0","0.0","0.00"
"22","1013.2","22.3","90","0.0","0","0.2","0","0.0","0.00"
"23","1013.0","21.7","92","0.0","0","0.6","250","0.0","0.00"
"24","1012.3","20.5","95","0.0","0","0.6","250","0.0","0.00"
