"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.0","224","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","1.0","232","0.0","0.00"
"04","1.5","240","0.0","0.00"
"05","1.1","246","0.0","0.00"
"06","1.6","203","0.0","0.00"
"07","1.3","269","0.0","0.00"
"08","1.8","247","0.0","0.20"
"09","2.9","264","0.0","0.60"
"10","2.8","219","0.0","1.50"
"11","3.4","192","0.0","2.70"
"12","3.5","127","0.0","2.70"
"13","5.0","144","0.0","2.80"
"14","4.4","129","0.0","0.70"
"15","3.5","125","0.0","0.50"
"16","3.4","212","0.0","0.40"
"17","3.4","134","0.0","0.10"
"18","1.2","261","0.0","0.00"
"19","0.7","302","0.0","0.00"
"20","0.3","310","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.6","209","0.0","0.00"
"24","0.5","209","0.0","0.00"
