"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.8","295","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","1.4","216","0.0","0.00"
"04","0.7","224","0.0","0.00"
"05","2.3","220","0.0","0.00"
"06","0.9","234","0.0","0.00"
"07","1.2","219","0.0","0.00"
"08","2.4","220","0.0","0.50"
"09","3.0","235","0.0","1.30"
"10","4.0","211","0.0","2.10"
"11","3.3","218","0.0","2.60"
"12","2.5","217","0.0","2.90"
"13","2.5","224","0.0","2.90"
"14","3.1","201","0.0","2.70"
"15","4.9","154","0.0","2.20"
"16","3.7","171","0.0","1.50"
"17","2.9","136","0.0","0.60"
"18","1.7","149","0.0","0.00"
"19","1.5","114","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.6","283","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.0","0","0.0","0.00"
