"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1003.0","25.6","100","0.0","0","0.6","239","0.0","0.00"
"02","1003.0","25.5","100","0.0","0","1.2","254","0.0","0.00"
"03","1003.3","25.6","100","0.0","0","0.7","223","0.0","0.00"
"04","1003.2","25.5","100","0.0","0","1.1","217","0.0","0.00"
"05","1002.6","25.4","100","0.0","0","1.2","224","0.0","0.00"
"06","1002.8","25.4","100","0.0","0","1.2","213","0.0","0.00"
"07","1003.3","26.1","100","0.1","0","1.7","208","0.0","0.20"
"08","1004.1","26.9","96","0.0","0","1.7","209","0.0","0.40"
"09","1003.9","28.0","93","0.3","222","1.6","260","0.0","0.60"
"10","1003.5","30.2","84","0.3","257","2.5","202","0.0","1.40"
"11","1003.0","31.9","77","0.2","0","1.9","198","0.0","2.00"
"12","1002.5","33.8","69","0.4","104","3.0","122","0.0","2.80"
"13","1002.5","32.6","69","1.4","73","3.6","85","0.0","2.00"
"14","1002.3","30.2","86","0.4","46","3.0","64","0.0","0.80"
"15","1002.4","27.8","95","0.8","268","2.5","304","3.5","0.50"
"16","1002.3","27.3","97","0.0","0","2.6","286","1.0","0.30"
"17","1002.6","26.7","97","0.2","0","2.1","49","0.0","0.20"
"18","1003.4","26.1","98","0.0","0","1.9","100","0.0","0.00"
"19","1003.4","25.8","99","0.0","0","0.4","352","2.0","0.00"
"20","1003.4","25.7","100","0.1","0","1.3","216","0.0","0.00"
"21","1002.7","25.6","100","0.1","0","2.5","219","0.0","0.00"
"22","1002.5","25.4","100","0.0","0","1.8","221","0.0","0.00"
"23","1003.4","25.4","100","0.0","0","1.6","208","0.0","0.00"
"24","1002.9","25.5","100","0.0","0","1.6","292","0.0","0.00"
