"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","3.8","56","0.0","0.00"
"02","5.9","43","0.0","0.00"
"03","5.5","37","0.0","0.00"
"04","6.0","1","0.0","0.00"
"05","4.3","13","0.0","0.00"
"06","3.2","56","0.0","0.00"
"07","1.7","275","0.0","0.00"
"08","1.9","260","0.5","0.00"
"09","3.6","1","0.0","0.10"
"10","4.8","72","0.0","0.30"
"11","4.3","74","0.0","0.70"
"12","4.5","97","0.0","0.60"
"13","4.4","94","0.0","0.10"
"14","5.9","79","0.0","0.10"
"15","2.7","33","0.0","0.10"
"16","2.4","219","0.0","0.00"
"17","3.1","17","0.0","0.00"
"18","3.2","87","0.0","0.00"
"19","2.8","73","0.0","0.00"
"20","1.7","302","0.0","0.00"
"21","1.3","241","0.0","0.00"
"22","1.3","198","0.0","0.00"
"23","1.1","252","0.0","0.00"
"24","1.1","252","0.0","0.00"
