"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.4","251","0.0","0.00"
"02","0.3","216","0.0","0.00"
"03","1.4","208","0.0","0.00"
"04","1.6","243","0.0","0.00"
"05","2.8","211","0.0","0.00"
"06","1.4","211","0.0","0.00"
"07","2.3","250","0.0","0.00"
"08","2.6","264","0.0","0.20"
"09","2.2","192","0.0","0.90"
"10","3.2","194","0.0","1.90"
"11","2.9","199","0.0","2.40"
"12","2.8","215","0.0","2.70"
"13","3.3","80","0.0","2.70"
"14","3.2","90","0.0","2.40"
"15","3.0","123","0.0","1.90"
"16","2.4","139","0.0","1.30"
"17","1.6","133","0.0","0.40"
"18","1.9","133","0.0","0.00"
"19","1.4","347","0.0","0.00"
"20","0.8","303","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.5","313","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.3","272","0.0","0.00"
