"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1012.9","20.9","94","0.3","226","1.0","221","0.0","0.00"
"02","1012.5","20.7","94","0.2","0","1.4","211","0.0","0.00"
"03","1012.4","20.7","94","0.1","0","1.3","207","0.0","0.00"
"04","1012.7","20.8","94","0.2","0","1.7","248","0.0","0.00"
"05","1012.9","20.7","93","0.4","238","2.1","265","0.0","0.00"
"06","1013.3","20.9","93","0.6","221","2.2","207","0.0","0.00"
"07","1014.0","21.7","90","0.7","229","2.8","209","0.0","0.20"
"08","1014.0","22.9","83","0.6","233","2.5","205","0.0","0.40"
"09","1014.4","25.6","75","0.7","236","2.5","210","0.0","1.10"
"10","1014.4","27.7","67","0.3","191","2.2","228","0.0","2.40"
"11","1014.2","28.5","63","0.8","103","2.2","91","0.0","2.70"
"12","1013.6","29.0","58","0.3","109","2.9","216","0.0","3.20"
"13","1013.0","29.6","61","0.7","164","3.4","250","0.0","3.40"
"14","1012.0","28.8","60","0.7","114","3.3","157","0.0","1.90"
"15","1011.8","27.3","65","0.4","134","3.6","99","0.0","1.00"
"16","1011.6","27.4","62","0.4","162","3.2","64","0.0","1.00"
"17","1011.8","26.6","67","0.1","0","1.9","136","0.0","0.70"
"18","1012.0","25.5","73","0.1","0","1.7","216","0.0","0.10"
"19","1012.2","23.4","83","0.1","0","0.9","110","0.0","0.00"
"20","1012.9","23.0","90","0.0","0","0.0","0","0.0","0.00"
"21","1013.1","21.9","93","0.0","0","0.0","0","0.0","0.00"
"22","1013.4","21.3","95","0.0","0","0.0","0","0.0","0.00"
"23","1013.2","20.8","97","0.0","0","0.0","0","0.0","0.00"
"24","1012.3","20.3","98","0.0","0","0.0","0","0.0","0.00"
