"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.0","0","0.5","0.00"
"04","0.0","0","0.0","0.00"
"05","0.0","0","0.0","0.00"
"06","1.1","307","0.5","0.00"
"07","1.3","287","0.0","0.00"
"08","1.4","286","0.0","0.00"
"09","1.2","287","0.0","0.10"
"10","1.0","276","0.0","0.20"
"11","1.8","308","0.0","0.30"
"12","1.1","301","0.0","0.30"
"13","0.8","300","0.0","0.40"
"14","2.0","288","0.0","0.40"
"15","2.2","253","0.0","0.30"
"16","1.8","294","0.0","0.20"
"17","0.0","0","0.0","0.00"
"18","0.9","232","0.0","0.00"
"19","0.7","232","0.0","0.00"
"20","1.0","221","0.0","0.00"
"21","1.2","215","0.0","0.00"
"22","1.0","218","0.0","0.00"
"23","1.2","242","0.0","0.00"
"24","0.0","0","0.0","0.00"
