"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.4","210","0.0","0.00"
"02","1.2","204","0.0","0.00"
"03","1.4","199","0.0","0.00"
"04","0.8","231","0.0","0.00"
"05","0.8","244","0.0","0.00"
"06","1.6","238","0.0","0.00"
"07","1.1","222","0.0","0.00"
"08","2.1","196","0.0","0.10"
"09","1.5","210","0.0","0.50"
"10","2.5","258","0.0","1.40"
"11","1.9","211","0.0","1.50"
"12","2.5","73","0.0","1.10"
"13","5.4","65","0.0","0.30"
"14","5.8","360","0.0","0.10"
"15","6.2","56","0.0","0.10"
"16","6.1","19","0.0","0.00"
"17","5.0","35","0.0","0.00"
"18","5.6","35","0.0","0.00"
"19","4.9","9","0.0","0.00"
"20","4.2","63","0.0","0.00"
"21","6.0","26","0.0","0.00"
"22","3.8","21","0.0","0.00"
"23","4.7","72","0.0","0.00"
"24","4.7","72","0.0","0.00"
