"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.6","268","0.0","0.00"
"03","1.4","251","0.0","0.00"
"04","0.6","255","0.0","0.00"
"05","0.9","254","0.0","0.00"
"06","1.3","230","0.0","0.00"
"07","0.4","229","0.0","0.00"
"08","0.9","229","0.0","0.10"
"09","0.6","229","0.0","0.30"
"10","1.0","227","0.0","0.60"
"11","2.4","38","0.0","0.60"
"12","2.7","98","0.0","0.30"
"13","2.1","140","0.0","0.40"
"14","2.5","70","0.0","0.20"
"15","2.2","64","0.0","0.10"
"16","1.4","353","0.0","0.10"
"17","0.5","36","0.0","0.00"
"18","0.2","0","0.0","0.00"
"19","0.5","36","0.0","0.00"
"20","0.0","0","0.5","0.00"
"21","0.9","36","0.0","0.00"
"22","0.9","36","0.0","0.00"
"23","0.3","36","0.0","0.00"
"24","0.0","0","0.0","0.00"
