"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.0","0","0.0","0.00"
"04","0.1","0","0.0","0.00"
"05","0.4","167","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","0.5","190","0.0","0.20"
"08","1.5","207","0.0","0.90"
"09","1.7","215","0.0","1.70"
"10","3.2","114","0.0","2.40"
"11","4.7","85","0.0","3.00"
"12","6.0","12","0.0","1.80"
"13","6.5","76","0.0","0.20"
"14","5.2","5","0.0","0.20"
"15","6.0","85","0.0","0.10"
"16","4.9","7","0.0","0.10"
"17","3.2","360","0.0","0.00"
"18","3.6","21","0.0","0.00"
"19","2.7","28","0.0","0.00"
"20","3.2","70","0.0","0.00"
"21","2.0","312","0.0","0.00"
"22","1.9","299","0.0","0.00"
"23","0.4","344","0.0","0.00"
"24","0.7","344","0.0","0.00"
