"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.5","227","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.5","227","0.0","0.00"
"04","0.8","227","0.0","0.00"
"05","0.0","0","0.0","0.00"
"06","0.5","227","0.0","0.00"
"07","0.0","0","0.5","0.00"
"08","0.0","0","0.0","0.00"
"09","0.9","229","0.0","0.10"
"10","0.8","230","0.0","0.20"
"11","0.7","228","0.0","0.40"
"12","1.6","317","0.0","0.70"
"13","2.0","7","0.0","0.90"
"14","1.6","354","0.0","0.40"
"15","1.4","77","0.0","0.30"
"16","1.0","354","0.0","0.10"
"17","0.2","0","0.0","0.00"
"18","0.0","0","0.0","0.00"
"19","0.4","18","0.0","0.00"
"20","0.8","19","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.0","0","0.0","0.00"
