"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1003.3","24.6","100","1.1","25","5.1","24","5.5","0.00"
"02","1003.1","24.9","100","0.7","30","4.1","17","2.5","0.00"
"03","1002.7","24.7","100","0.3","97","4.3","16","3.5","0.00"
"04","1002.9","24.5","100","0.0","0","1.6","282","7.5","0.00"
"05","1003.4","25.0","100","0.7","357","3.7","38","2.5","0.00"
"06","1004.2","24.9","100","0.0","0","3.2","10","0.5","0.00"
"07","1004.6","24.9","100","0.6","75","3.1","75","6.5","0.00"
"08","1004.8","25.3","100","0.1","0","1.5","120","0.0","0.30"
"09","1005.4","28.0","97","0.5","198","2.5","282","1.0","1.20"
"10","1005.8","28.9","86","0.3","213","1.9","115","0.0","1.70"
"11","1004.9","29.2","87","0.5","212","1.9","262","0.0","0.90"
"12","1004.2","29.4","85","0.0","0","2.5","128","0.0","1.20"
"13","1003.3","29.5","85","0.2","0","1.3","210","0.0","0.70"
"14","1003.4","28.5","91","0.4","198","1.7","165","0.0","0.40"
"15","1003.6","27.2","95","0.7","232","2.7","229","0.0","0.20"
"16","1003.9","25.7","97","0.7","231","3.3","229","0.5","0.00"
"17","1004.3","25.0","99","0.4","237","2.3","226","1.5","0.00"
"18","1004.7","24.8","100","0.3","231","2.3","215","1.0","0.00"
"19","1004.8","24.6","100","0.4","247","2.8","215","0.0","0.00"
"20","1005.8","24.8","100","0.4","217","1.4","243","0.5","0.00"
"21","1006.2","24.7","100","0.3","217","1.6","218","0.0","0.00"
"22","1006.4","24.7","100","0.3","216","1.6","207","0.0","0.00"
"23","1006.1","24.6","100","0.1","0","1.8","220","0.0","0.00"
"24","1005.5","24.5","100","0.2","0","1.7","229","0.0","0.00"
