"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.5","213","0.0","0.00"
"04","1.1","213","0.0","0.00"
"05","1.0","212","0.0","0.00"
"06","1.1","194","0.0","0.00"
"07","1.1","205","0.0","0.00"
"08","1.9","218","0.0","0.10"
"09","2.3","200","0.0","1.20"
"10","3.0","262","0.0","1.80"
"11","3.8","103","0.0","2.30"
"12","4.3","111","0.0","2.70"
"13","5.6","115","0.0","2.40"
"14","5.3","57","0.0","0.30"
"15","5.3","7","0.0","0.30"
"16","5.2","21","0.0","0.30"
"17","4.8","15","0.0","0.20"
"18","3.4","32","0.0","0.00"
"19","3.2","90","0.0","0.00"
"20","5.0","40","0.0","0.00"
"21","5.2","25","0.0","0.00"
"22","2.3","3","0.0","0.00"
"23","3.8","43","0.0","0.00"
"24","2.8","356","0.0","0.00"
