"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1004.2","25.5","96","0.0","0","0.8","239","0.0","0.00"
"02","1004.0","25.3","98","0.0","0","0.5","206","0.0","0.00"
"03","1003.8","25.0","99","0.0","0","0.9","206","0.0","0.00"
"04","1004.0","24.8","99","0.0","0","0.0","0","0.0","0.00"
"05","1004.4","24.8","100","0.0","0","0.6","235","0.0","0.00"
"06","1004.9","24.8","99","0.0","0","0.5","189","0.0","0.00"
"07","1005.1","27.0","93","0.0","0","0.8","174","0.0","0.40"
"08","1005.7","30.3","77","0.3","238","2.2","224","0.0","1.20"
"09","1005.9","32.7","65","0.4","199","2.1","228","0.0","2.00"
"10","1005.8","33.4","61","0.8","292","2.1","212","0.0","2.70"
"11","1005.7","34.2","59","0.8","72","2.8","141","0.0","2.90"
"12","1005.4","34.8","58","0.5","148","4.7","95","0.0","3.50"
"13","1004.7","35.1","58","0.4","136","3.8","173","0.0","3.50"
"14","1004.3","34.8","62","0.7","131","3.7","75","0.0","3.20"
"15","1004.0","33.1","63","0.8","66","3.7","99","0.0","2.30"
"16","1004.1","31.4","71","0.8","35","3.2","126","0.0","1.00"
"17","1004.2","31.3","73","0.7","49","2.2","29","0.0","0.70"
"18","1004.0","29.1","85","0.0","0","1.6","29","0.0","0.20"
"19","1004.1","27.6","92","0.0","0","0.0","0","0.0","0.00"
"20","1004.6","27.3","95","0.0","0","0.0","0","0.0","0.00"
"21","1005.7","27.7","93","0.0","0","0.3","53","0.0","0.00"
"22","1006.2","27.8","91","0.0","0","1.0","288","0.0","0.00"
"23","1006.0","27.4","92","0.0","0","0.7","133","0.0","0.00"
"24","1005.2","26.5","94","0.0","0","1.1","215","0.0","0.00"
