"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.6","49","0.5","0.00"
"03","0.6","48","0.0","0.00"
"04","0.0","0","0.5","0.00"
"05","0.0","0","0.0","0.00"
"06","0.4","49","0.5","0.00"
"07","1.8","17","0.0","0.00"
"08","2.1","55","0.0","0.00"
"09","2.4","324","0.0","0.10"
"10","3.7","255","0.0","0.20"
"11","1.5","313","0.0","0.30"
"12","2.1","286","0.0","0.30"
"13","2.4","125","0.0","0.60"
"14","1.9","8","0.0","0.30"
"15","2.0","8","0.0","--"
"16","0.9","360","0.0","0.20"
"17","0.4","360","0.0","0.00"
"18","0.2","0","0.0","0.00"
"19","0.9","13","0.0","0.00"
"20","0.6","13","0.0","0.00"
"21","0.8","13","0.0","0.00"
"22","0.4","311","0.0","0.00"
"23","0.4","310","0.0","0.00"
"24","1.2","229","0.0","0.00"
