"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.3","219","0.0","0.00"
"02","0.5","207","0.0","0.00"
"03","0.7","206","0.0","0.00"
"04","1.1","217","0.0","0.00"
"05","1.3","250","0.0","0.00"
"06","0.4","246","0.0","0.00"
"07","0.0","0","0.0","0.00"
"08","1.3","208","0.0","0.20"
"09","2.7","217","0.0","0.50"
"10","2.7","282","0.0","1.10"
"11","2.0","209","0.0","1.80"
"12","2.3","90","0.0","1.40"
"13","2.4","151","0.0","0.80"
"14","4.1","318","0.0","0.50"
"15","3.1","70","0.0","0.20"
"16","1.7","33","0.0","0.20"
"17","2.4","33","0.0","0.10"
"18","1.9","349","1.5","0.00"
"19","1.7","113","1.5","0.00"
"20","2.2","11","1.0","0.00"
"21","1.7","5","0.5","0.00"
"22","1.3","70","0.0","0.00"
"23","0.8","60","0.0","0.00"
"24","0.0","0","0.5","0.00"
