"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1003.6","25.5","99","0.0","0","0.1","0","0.0","0.00"
"02","1003.6","25.5","99","0.4","241","1.2","224","0.0","0.00"
"03","1003.3","25.3","99","0.0","0","1.1","215","0.0","0.00"
"04","1003.3","25.4","99","0.1","0","0.9","203","0.0","0.00"
"05","1004.0","25.3","99","0.0","0","1.2","201","0.0","0.00"
"06","1004.4","25.6","99","0.0","0","1.2","227","0.0","0.00"
"07","1004.5","26.9","97","0.3","250","1.6","210","0.0","0.40"
"08","1004.6","30.5","79","0.8","240","2.4","202","0.0","1.50"
"09","1004.8","32.0","72","0.7","203","2.8","218","0.0","2.20"
"10","1004.8","33.0","70","0.6","132","2.5","208","0.0","2.80"
"11","1004.3","34.1","67","0.7","175","2.4","193","0.0","3.10"
"12","1003.7","34.5","68","0.7","156","3.0","99","0.0","3.60"
"13","1002.7","34.5","68","0.6","150","2.8","83","0.0","3.60"
"14","1002.8","33.9","70","0.8","157","2.9","72","0.0","3.10"
"15","1002.1","30.5","80","0.4","145","3.6","134","0.0","1.10"
"16","1002.0","29.7","84","0.4","317","2.7","124","0.0","0.10"
"17","1002.2","28.8","89","0.0","0","2.1","219","0.0","0.00"
"18","1002.6","28.1","97","0.0","0","1.6","124","1.0","0.10"
"19","1003.6","26.8","96","0.6","358","3.2","30","0.0","0.00"
"20","1004.2","25.4","97","0.5","328","3.6","17","0.0","0.00"
"21","1004.9","25.8","98","0.2","0","3.1","348","0.0","0.00"
"22","1004.8","25.9","99","0.0","0","1.4","282","0.0","0.00"
"23","1004.5","25.8","99","0.0","0","0.4","146","0.0","0.00"
"24","1003.8","25.7","99","0.1","0","1.4","237","0.0","0.00"
