"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1015.6","22.5","78","1.5","38","7.2","59","0.0","0.00"
"02","1015.4","22.1","79","1.3","41","5.7","24","0.0","0.00"
"03","1015.3","22.1","77","1.5","43","6.4","63","0.0","0.00"
"04","1015.0","22.3","76","2.2","49","6.9","63","0.0","0.00"
"05","1015.2","21.9","75","1.2","57","7.5","3","0.0","0.00"
"06","1015.7","21.7","78","1.0","22","3.1","27","0.0","0.00"
"07","1016.5","22.4","71","2.0","42","6.7","58","0.0","0.00"
"08","1017.3","22.7","68","1.7","48","6.4","72","0.0","0.10"
"09","1017.8","23.5","67","1.6","39","6.4","64","0.0","0.50"
"10","1018.1","23.3","69","2.7","55","7.5","8","0.0","0.50"
"11","1018.0","23.0","69","2.0","29","7.1","68","0.0","0.50"
"12","1017.2","23.2","68","2.0","46","7.1","67","0.0","0.60"
"13","1016.3","24.2","67","2.1","47","9.3","62","0.0","1.30"
"14","1016.2","23.3","73","2.5","63","9.2","66","0.0","1.00"
"15","1016.3","23.1","70","1.8","26","9.0","33","0.0","0.70"
"16","1016.4","22.5","71","2.1","34","7.6","34","0.0","0.40"
"17","1016.7","22.0","70","2.2","44","7.7","48","0.0","0.10"
"18","1017.3","22.1","66","1.7","46","7.4","71","0.0","0.00"
"19","1017.2","22.0","69","1.7","48","6.5","59","0.0","0.00"
"20","1017.4","21.3","74","0.6","23","5.9","65","0.0","0.00"
"21","1018.2","21.8","71","1.9","47","6.0","76","0.0","0.00"
"22","1018.1","21.6","71","1.6","48","6.5","11","0.0","0.00"
"23","1017.9","21.5","71","1.0","27","5.3","66","0.0","0.00"
"24","1017.2","20.7","78","0.7","21","3.9","18","0.0","0.00"
