"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.4","23.0","96","0.0","0","0.5","170","0.0","0.00"
"02","1005.0","22.4","97","0.0","0","0.8","280","0.0","0.00"
"03","1004.5","22.1","97","0.0","0","0.3","252","0.0","0.00"
"04","1004.6","22.0","97","0.0","0","0.2","0","0.0","0.00"
"05","1004.9","22.4","98","0.0","0","1.1","210","0.0","0.00"
"06","1005.3","22.4","98","0.1","0","0.9","223","0.0","0.00"
"07","1006.1","23.5","96","0.2","0","1.2","210","0.0","0.20"
"08","1006.3","24.8","89","0.7","223","2.0","197","0.0","0.50"
"09","1006.4","26.5","79","0.1","0","2.4","204","0.0","0.90"
"10","1006.2","26.5","81","0.1","0","1.5","263","0.0","0.70"
"11","1006.2","27.4","78","0.1","0","1.3","219","0.0","0.70"
"12","1005.8","28.2","74","0.2","0","1.2","251","0.0","0.90"
"13","1005.6","27.2","82","0.0","0","1.0","266","0.0","0.50"
"14","1005.2","26.7","87","0.0","0","1.1","233","0.5","0.70"
"15","1004.6","27.9","79","0.0","0","0.7","237","0.0","1.00"
"16","1004.5","28.8","73","0.2","0","1.3","227","0.0","1.10"
"17","1004.9","27.3","73","0.4","43","1.2","180","0.0","0.50"
"18","1005.1","25.6","84","0.0","0","0.4","88","0.0","0.10"
"19","1005.1","24.6","89","0.0","0","0.0","0","0.0","0.00"
"20","1005.6","23.8","94","0.0","0","0.0","0","0.0","0.00"
"21","1006.5","23.6","96","0.0","0","0.3","34","0.0","0.00"
"22","1006.8","23.4","96","0.0","0","0.0","0","0.0","0.00"
"23","1006.7","23.1","97","0.0","0","0.0","0","0.0","0.00"
"24","1005.9","22.9","97","0.0","0","0.8","51","0.0","0.00"
