"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.6","207","0.0","0.00"
"02","0.8","242","0.0","0.00"
"03","0.0","0","0.0","0.00"
"04","1.3","30","0.0","0.00"
"05","0.7","87","0.0","0.00"
"06","0.7","87","0.0","0.00"
"07","0.3","163","0.0","0.00"
"08","1.3","210","0.0","0.20"
"09","2.2","220","0.0","0.70"
"10","2.8","204","0.0","0.80"
"11","2.2","205","0.0","1.00"
"12","2.0","295","0.0","1.30"
"13","3.4","42","0.0","1.40"
"14","3.1","149","0.0","1.50"
"15","3.6","108","0.0","1.20"
"16","2.7","85","0.0","0.80"
"17","2.8","24","0.0","0.20"
"18","0.5","1","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.2","0","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.9","198","0.0","0.00"
"24","0.0","0","0.0","0.00"
