"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.5","216","0.0","0.00"
"02","1.8","214","0.0","0.00"
"03","1.2","235","0.0","0.00"
"04","1.5","212","0.0","0.00"
"05","1.7","208","0.0","0.00"
"06","1.6","194","0.0","0.00"
"07","1.6","207","0.0","0.00"
"08","1.9","207","0.0","0.00"
"09","2.4","204","0.0","0.30"
"10","3.0","210","0.0","0.80"
"11","2.4","199","0.0","1.50"
"12","2.1","293","0.0","1.00"
"13","2.1","130","0.0","2.10"
"14","2.2","119","0.0","2.30"
"15","1.7","137","0.0","0.90"
"16","1.8","103","0.0","0.50"
"17","1.1","29","0.0","0.10"
"18","0.0","0","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.4","354","0.0","0.00"
"21","1.1","275","0.0","0.00"
"22","1.7","257","0.0","0.00"
"23","1.3","244","0.0","0.00"
"24","1.3","232","0.0","0.00"
