"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1010.8","22.6","100","0.0","0","1.6","245","0.0","0.00"
"02","1010.3","22.5","100","0.3","242","1.4","248","0.5","0.00"
"03","1010.3","22.4","100","0.0","0","1.9","249","0.0","0.00"
"04","1009.9","22.3","100","0.1","0","1.9","234","0.5","0.00"
"05","1010.1","22.2","100","0.1","0","1.6","227","0.0","0.00"
"06","1010.6","22.3","100","0.3","231","1.6","223","0.0","0.00"
"07","1011.5","22.5","100","0.1","0","1.4","244","0.0","0.00"
"08","1011.6","23.2","100","0.1","0","1.6","230","0.0","0.20"
"09","1012.3","24.2","96","0.6","221","1.8","252","0.0","0.50"
"10","1012.2","25.2","91","0.7","237","2.5","230","0.0","0.70"
"11","1011.6","25.8","88","0.3","206","1.9","235","0.0","0.70"
"12","1010.5","25.5","92","0.1","0","0.9","205","0.0","0.50"
"13","1010.1","25.5","94","0.1","0","2.9","64","0.5","0.50"
"14","1009.3","25.8","96","0.0","0","2.1","42","0.0","0.50"
"15","1009.3","25.0","96","0.0","0","0.9","121","1.5","0.40"
"16","1009.7","24.4","98","0.4","11","2.0","360","0.5","0.10"
"17","1010.1","23.5","100","0.0","0","2.9","352","1.5","0.00"
"18","1010.7","23.5","100","0.0","0","0.8","11","0.5","0.00"
"19","1011.1","23.1","100","0.0","0","1.0","13","2.0","0.00"
"20","1011.6","23.1","100","0.0","0","0.7","9","0.0","0.00"
"21","1011.2","23.1","100","0.0","0","0.0","0","0.0","0.00"
"22","1011.5","22.8","100","0.9","15","4.3","9","3.0","0.00"
"23","1011.6","22.5","100","0.0","0","4.1","16","5.0","0.00"
"24","1010.9","22.5","100","0.1","0","1.0","41","0.5","0.00"
