"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.3","316","0.0","0.00"
"02","0.8","227","0.0","0.00"
"03","0.6","227","0.0","0.00"
"04","1.6","212","0.0","0.00"
"05","2.5","210","0.0","0.00"
"06","2.5","193","0.0","0.00"
"07","2.6","198","0.0","0.00"
"08","2.6","281","0.0","0.10"
"09","2.0","218","0.0","0.10"
"10","2.0","245","0.5","0.20"
"11","2.0","211","0.0","0.40"
"12","2.0","204","0.0","0.30"
"13","1.7","199","0.0","0.40"
"14","1.3","242","0.0","0.70"
"15","1.1","358","0.0","0.60"
"16","1.6","20","0.0","0.80"
"17","1.2","68","0.0","0.20"
"18","0.0","0","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.3","354","0.0","0.00"
"21","1.1","237","0.0","0.00"
"22","1.8","229","0.0","0.00"
"23","1.6","244","0.0","0.00"
"24","1.2","142","0.0","0.00"
