"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1015.2","21.1","100","0.0","0","0.9","10","0.0","0.00"
"02","1015.0","21.2","100","0.0","0","2.3","44","0.0","0.00"
"03","1014.4","20.9","100","0.0","0","0.5","44","0.0","0.00"
"04","1014.2","21.0","100","0.0","0","0.8","3","0.5","0.00"
"05","1014.4","21.0","100","0.0","0","1.8","3","1.5","0.00"
"06","1014.8","20.9","100","0.0","0","1.4","360","0.0","0.00"
"07","1015.3","21.1","100","0.0","0","1.1","360","0.0","0.00"
"08","1015.6","21.2","100","0.4","237","2.1","236","0.5","0.10"
"09","1015.2","21.9","98","0.5","239","2.7","223","0.0","0.30"
"10","1015.2","23.2","91","0.5","229","2.1","255","0.0","0.60"
"11","1014.8","22.7","94","0.1","0","1.7","240","0.5","0.40"
"12","1014.2","22.3","96","0.0","0","1.0","228","0.5","0.50"
"13","1013.1","21.9","97","0.5","255","1.6","255","1.0","0.40"
"14","1012.3","22.6","96","0.0","0","1.8","256","0.0","0.40"
"15","1012.0","23.2","94","0.0","0","1.1","253","0.0","0.50"
"16","1011.9","23.4","96","0.1","0","1.3","252","0.0","0.30"
"17","1012.4","23.0","97","0.0","0","0.3","252","0.0","0.10"
"18","1012.7","22.7","99","0.3","251","1.3","252","0.0","0.00"
"19","1012.9","22.7","99","0.1","0","1.3","250","0.0","0.00"
"20","1013.1","22.3","100","0.0","0","1.6","253","0.0","0.00"
"21","1013.1","22.5","100","0.4","223","1.8","219","0.0","0.00"
"22","1013.2","22.5","100","0.2","0","1.7","234","0.0","0.00"
"23","1013.4","22.4","100","0.2","0","1.5","232","0.0","0.00"
"24","1012.3","21.9","100","0.1","0","1.3","254","0.0","0.00"
