"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.0","268","0.0","0.00"
"02","1.9","229","0.0","0.00"
"03","0.8","237","0.0","0.00"
"04","0.7","212","0.0","0.00"
"05","1.0","207","0.0","0.00"
"06","1.4","201","0.0","0.00"
"07","1.6","208","0.0","0.00"
"08","1.0","229","0.0","0.10"
"09","2.4","206","0.0","0.70"
"10","2.8","223","0.0","1.70"
"11","2.3","264","0.0","2.30"
"12","1.7","307","0.0","1.30"
"13","2.2","133","0.0","1.50"
"14","2.9","159","0.0","1.50"
"15","2.6","23","0.0","0.60"
"16","2.4","113","0.0","0.50"
"17","1.9","73","0.0","0.20"
"18","1.1","104","0.0","0.00"
"19","1.2","96","0.0","0.00"
"20","1.0","104","0.0","0.00"
"21","4.0","72","0.5","0.00"
"22","4.0","68","0.0","0.00"
"23","3.8","68","0.0","0.00"
"24","3.1","1","0.0","0.00"
