"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.7","196","0.0","0.00"
"02","1.0","224","0.0","0.00"
"03","1.3","219","0.0","0.00"
"04","0.9","211","0.0","0.00"
"05","1.6","215","0.0","0.00"
"06","1.3","264","0.0","0.00"
"07","1.0","248","0.0","0.00"
"08","2.5","214","0.0","0.10"
"09","2.1","209","0.0","0.60"
"10","3.1","196","0.0","1.30"
"11","2.9","73","0.0","2.20"
"12","4.3","91","0.0","2.50"
"13","4.2","28","0.0","1.60"
"14","4.2","28","0.0","1.10"
"15","3.9","41","0.0","0.70"
"16","3.3","61","0.0","0.20"
"17","3.7","41","0.0","0.00"
"18","2.9","7","0.0","0.00"
"19","1.0","316","0.0","0.00"
"20","0.6","279","0.0","0.00"
"21","0.9","277","0.0","0.00"
"22","1.2","217","0.0","0.00"
"23","0.5","215","0.0","0.00"
"24","1.3","201","0.0","0.00"
