"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1007.7","23.8","100","0.0","0","0.0","0","0.0","0.00"
"02","1007.4","23.7","100","0.0","0","0.0","0","0.0","0.00"
"03","1007.2","23.7","100","0.0","0","0.0","0","0.0","0.00"
"04","1007.4","23.4","100","0.0","0","0.0","0","0.0","0.00"
"05","1008.0","23.3","100","0.0","0","0.9","7","0.0","0.00"
"06","1009.1","23.1","100","0.0","0","0.0","0","0.0","0.00"
"07","1009.8","23.4","100","0.0","0","0.6","7","0.0","0.00"
"08","1010.7","26.1","93","1.0","225","2.2","225","0.0","0.70"
"09","1011.5","26.7","89","0.0","0","1.9","241","0.0","0.70"
"10","1011.2","27.9","83","0.0","0","1.5","86","0.0","1.00"
"11","1010.9","29.2","76","1.0","62","3.7","99","0.0","1.90"
"12","1010.6","27.2","80","1.5","70","4.6","91","0.0","1.60"
"13","1009.7","29.0","74","1.4","65","4.6","86","0.0","1.70"
"14","1009.7","27.8","74","2.0","54","5.5","67","0.0","1.70"
"15","1010.1","26.9","77","1.4","48","5.5","18","0.0","1.20"
"16","1011.0","25.3","83","0.9","50","4.7","76","0.0","0.30"
"17","1011.8","24.4","83","0.8","42","4.7","93","0.0","0.00"
"18","1012.7","24.5","82","1.4","49","4.4","59","0.0","0.00"
"19","1013.5","23.8","83","0.3","29","7.1","67","0.0","0.00"
"20","1014.1","23.5","87","0.0","0","2.5","70","0.0","0.00"
"21","1014.4","23.4","89","0.2","0","2.0","220","0.0","0.00"
"22","1014.7","23.3","91","0.8","240","2.3","267","0.0","0.00"
"23","1015.0","23.2","92","0.8","238","3.3","220","0.0","0.00"
"24","1015.0","22.9","93","0.2","0","3.4","222","0.0","0.00"
