"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.4","341","0.0","0.00"
"02","1.4","225","0.0","0.00"
"03","1.3","249","0.0","0.00"
"04","1.2","218","0.0","0.00"
"05","1.1","212","0.0","0.00"
"06","0.1","0","0.0","0.00"
"07","0.6","214","0.0","0.00"
"08","1.4","254","0.0","0.10"
"09","1.9","200","0.0","0.50"
"10","1.4","189","0.0","0.80"
"11","0.9","158","0.0","0.60"
"12","1.7","109","0.0","0.90"
"13","2.1","18","0.0","0.70"
"14","2.0","333","0.0","0.60"
"15","1.9","321","0.0","0.50"
"16","1.5","352","0.0","0.10"
"17","0.0","0","0.0","0.00"
"18","1.0","215","0.0","0.00"
"19","0.7","233","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","1.2","201","0.0","0.00"
"22","1.0","256","0.0","0.00"
"23","1.5","206","0.0","0.00"
"24","1.6","210","0.0","0.00"
