"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.4","217","0.0","0.00"
"02","0.9","218","0.0","0.00"
"03","0.6","217","0.0","0.00"
"04","0.9","217","0.0","0.00"
"05","0.3","218","0.0","0.00"
"06","0.7","218","0.0","0.00"
"07","0.3","218","0.0","0.00"
"08","1.3","219","0.0","0.10"
"09","2.6","217","0.0","1.00"
"10","2.5","261","0.0","1.70"
"11","1.6","247","0.0","2.20"
"12","2.8","319","0.0","2.50"
"13","3.6","104","0.0","2.50"
"14","3.3","59","0.0","1.40"
"15","2.3","96","0.0","0.50"
"16","1.2","19","0.0","0.20"
"17","0.0","0","0.0","0.10"
"18","0.0","0","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.1","0","0.0","0.00"
"22","0.6","198","0.0","0.00"
"23","1.1","212","0.0","0.00"
"24","0.2","0","0.0","0.00"
