"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.9","212","0.0","0.00"
"02","1.1","214","0.0","0.00"
"03","0.7","212","0.0","0.00"
"04","1.7","212","0.0","0.00"
"05","0.6","205","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","0.0","0","0.0","0.00"
"08","1.9","212","0.0","0.10"
"09","3.3","205","0.0","1.00"
"10","3.0","195","0.0","1.70"
"11","3.6","292","0.0","2.20"
"12","2.4","214","0.0","2.50"
"13","2.3","90","0.0","2.50"
"14","2.6","26","0.0","1.30"
"15","2.5","145","0.0","0.70"
"16","2.0","219","0.0","0.20"
"17","0.4","218","0.0","0.10"
"18","0.0","0","0.0","0.00"
"19","0.7","201","0.0","0.00"
"20","0.5","201","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.0","0","0.0","0.00"
