"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.7","246","0.0","0.00"
"02","0.6","223","0.0","0.00"
"03","0.6","223","0.0","0.00"
"04","2.5","133","0.0","0.00"
"05","2.4","204","0.0","0.00"
"06","2.4","269","0.0","0.00"
"07","1.2","224","0.0","0.00"
"08","1.9","218","0.0","0.20"
"09","2.4","232","0.0","0.50"
"10","2.0","208","0.0","0.80"
"11","2.2","14","0.0","1.30"
"12","1.7","36","0.0","0.50"
"13","3.0","263","0.0","1.20"
"14","2.6","237","0.0","1.90"
"15","2.5","220","0.0","1.50"
"16","2.8","154","0.0","1.00"
"17","1.1","287","0.0","0.20"
"18","0.5","283","0.0","0.00"
"19","3.0","231","0.0","0.00"
"20","1.0","197","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.6","205","0.0","0.00"
"23","1.7","235","0.0","0.00"
"24","1.1","215","0.0","0.00"
