"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.3","223","0.0","0.00"
"02","2.0","200","0.0","0.00"
"03","0.6","219","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.0","0","0.0","0.00"
"06","0.5","202","0.0","0.00"
"07","0.6","231","0.0","0.00"
"08","2.8","203","0.0","0.50"
"09","3.7","237","0.0","1.50"
"10","3.7","191","0.0","2.20"
"11","4.2","277","0.0","2.70"
"12","4.8","138","0.0","3.00"
"13","5.3","141","0.0","3.10"
"14","4.7","191","0.0","2.70"
"15","6.1","141","0.0","2.20"
"16","6.3","150","0.0","0.60"
"17","5.2","190","0.0","0.10"
"18","3.5","195","0.0","0.00"
"19","2.9","159","0.0","0.00"
"20","1.9","195","0.0","0.00"
"21","1.1","31","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.7","30","0.0","0.00"
"24","0.5","31","0.0","0.00"
