"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.7","246","0.0","0.00"
"03","0.4","235","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","1.2","243","0.0","0.00"
"06","0.8","212","0.0","0.00"
"07","1.5","217","0.0","0.10"
"08","1.7","215","0.0","0.60"
"09","2.6","265","0.0","1.50"
"10","3.4","250","0.0","2.30"
"11","2.4","29","0.0","2.80"
"12","3.2","163","0.0","2.90"
"13","3.4","156","0.0","1.90"
"14","3.2","141","0.0","1.00"
"15","3.2","148","0.0","0.70"
"16","2.0","263","0.0","0.30"
"17","2.0","283","0.0","0.20"
"18","1.7","48","0.0","0.00"
"19","0.9","31","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.8","4","0.0","0.00"
"23","2.4","17","0.0","0.00"
"24","3.3","30","0.0","0.00"
