,序號,答案
0,20240117090001,1921.8765869140625
1,20240117091001,1972.996337890625
2,20240117092001,2031.36865234375
3,20240117093001,1971.516845703125
4,20240117094001,1960.364990234375
5,20240117095001,1898.463623046875
6,20240117100001,1839.071533203125
7,20240117101001,1876.92138671875
8,20240117102001,1935.2939453125
9,20240117103001,1865.28173828125
10,20240117104001,1854.1298828125
11,20240117105001,1864.3377685546875
12,20240117110001,1852.7904052734375
13,20240117111001,1928.344970703125
14,20240117112001,1986.71728515625
15,20240117113001,1937.025634765625
16,20240117114001,1939.1434326171875
17,20240117115001,2029.55419921875
18,20240117120001,2006.162109375
19,20240117121001,2057.28173828125
20,20240117122001,2053.7529296875
21,20240117123001,1959.177001953125
22,20240117124001,1940.9698486328125
23,20240117125001,1941.017578125
24,20240117130001,1882.130615234375
25,20240117131001,1908.8153076171875
26,20240117132001,1967.1876220703125
27,20240117133001,1904.5128173828125
28,20240117134001,1893.3609619140625
29,20240117135001,1926.80322265625
30,20240117140001,1885.04248046875
31,20240117141001,1911.8199462890625
32,20240117142001,1970.1925048828125
33,20240117143001,1882.2540283203125
34,20240117144001,1871.1021728515625
35,20240117145001,1881.31005859375
36,20240117150001,1837.4658203125
37,20240117151001,1886.5565185546875
38,20240117152001,1944.9288330078125
39,20240117153001,1871.64453125
40,20240117154001,1884.927490234375
41,20240117155001,1895.1353759765625
42,20240117160001,1824.031494140625
43,20240117161001,1875.1510009765625
44,20240117162001,1975.3028564453125
45,20240117163001,1972.5001220703125
46,20240117164001,1961.3482666015625
47,20240117165001,1961.3482666015625
48,20240119090001,1895.2252197265625
49,20240119091001,1884.443603515625
50,20240119092001,1914.3065185546875
51,20240119093001,1848.2401123046875
52,20240119094001,1830.032958984375
53,20240119095001,1830.032958984375
54,20240119100001,1799.1505126953125
55,20240119101001,1840.10986328125
56,20240119102001,1898.482421875
57,20240119103001,1838.63037109375
58,20240119104001,1803.043701171875
59,20240119105001,1813.2515869140625
60,20240119110001,1826.1390380859375
61,20240119111001,1879.28759765625
62,20240119112001,1937.66015625
63,20240119113001,1901.042724609375
64,20240119114001,1906.805908203125
65,20240119115001,1919.947509765625
66,20240119120001,1900.61572265625
67,20240119121001,1951.7354736328125
68,20240119122001,2008.23486328125
69,20240119123001,1948.383056640625
70,20240119124001,1937.231201171875
71,20240119125001,1949.599853515625
72,20240119130001,1873.222900390625
73,20240119131001,1924.3424072265625
74,20240119132001,1965.7999267578125
75,20240119133001,1901.0958251953125
76,20240119134001,1889.9439697265625
77,20240119135001,1900.15185546875
78,20240119140001,1818.241455078125
79,20240119141001,1874.6875
80,20240119142001,1933.059814453125
81,20240119143001,1868.35595703125
82,20240119144001,1857.2041015625
83,20240119145001,1867.4119873046875
84,20240119150001,1823.5677490234375
85,20240119151001,1872.658447265625
86,20240119152001,1955.4658203125
87,20240119153001,1890.76171875
88,20240119154001,1889.77001953125
89,20240119155001,1931.54931640625
90,20240119160001,1926.38623046875
91,20240119161001,1977.5059814453125
92,20240119162001,2035.87841796875
93,20240119163001,1971.1744384765625
94,20240119164001,1960.0225830078125
95,20240119165001,1960.0225830078125
96,20240224090001,1921.0074462890625
97,20240224091001,1987.094482421875
98,20240224092001,2004.9093017578125
99,20240224093001,1909.7264404296875
100,20240224094001,1898.5745849609375
101,20240224095001,1898.5745849609375
102,20240224100001,1917.7867431640625
103,20240224101001,1983.87353515625
104,20240224102001,2039.26513671875
105,20240224103001,1944.082275390625
106,20240224104001,1932.930419921875
107,20240224105001,1932.930419921875
108,20240224110001,1995.028076171875
109,20240224111001,2061.115234375
110,20240224112001,2116.50634765625
111,20240224113001,2021.3236083984375
112,20240224114001,2010.1717529296875
113,20240224115001,2010.1717529296875
114,20240224120001,2005.321533203125
115,20240224121001,2071.40869140625
116,20240224122001,2126.799560546875
117,20240224123001,2031.6170654296875
118,20240224124001,2020.4652099609375
119,20240224125001,2020.4652099609375
120,20240224130001,1987.7481689453125
121,20240224131001,2053.835205078125
122,20240224132001,2111.18994140625
123,20240224133001,2011.1552734375
124,20240224134001,2000.00341796875
125,20240224135001,2000.00341796875
126,20240224140001,1977.3944091796875
127,20240224141001,2043.4814453125
128,20240224142001,2098.872314453125
129,20240224143001,1998.837890625
130,20240224144001,1987.68603515625
131,20240224145001,1987.68603515625
132,20240224150001,1977.8572998046875
133,20240224151001,2043.944580078125
134,20240224152001,2099.33544921875
135,20240224153001,1999.30078125
136,20240224154001,1988.14892578125
137,20240224155001,1988.14892578125
138,20240224160001,1977.8572998046875
139,20240224161001,2043.944580078125
140,20240224162001,2099.33544921875
141,20240224163001,1999.30078125
142,20240224164001,1988.14892578125
143,20240224165001,1988.14892578125
144,20240226090001,1795.544677734375
145,20240226091001,1861.6314697265625
146,20240226092001,1920.0040283203125
147,20240226093001,1824.8211669921875
148,20240226094001,1843.7772216796875
149,20240226095001,1843.7772216796875
150,20240226100001,1872.689208984375
151,20240226101001,1938.7760009765625
152,20240226102001,1997.1485595703125
153,20240226103001,1901.9656982421875
154,20240226104001,1920.9217529296875
155,20240226105001,1920.9217529296875
156,20240226110001,1949.9305419921875
157,20240226111001,2016.017578125
158,20240226112001,2074.39013671875
159,20240226113001,1979.20703125
160,20240226114001,1998.1630859375
161,20240226115001,1998.1630859375
162,20240226120001,1960.2239990234375
163,20240226121001,2026.31103515625
164,20240226122001,2084.68359375
165,20240226123001,1989.50048828125
166,20240226124001,2008.45654296875
167,20240226125001,2008.45654296875
168,20240226130001,1942.650634765625
169,20240226131001,2008.7374267578125
170,20240226132001,2067.10986328125
171,20240226133001,1967.0750732421875
172,20240226134001,1986.0311279296875
173,20240226135001,1986.0311279296875
174,20240226140001,1927.81884765625
175,20240226141001,1993.9056396484375
176,20240226142001,2052.278076171875
177,20240226143001,1952.2432861328125
178,20240226144001,1971.1993408203125
179,20240226145001,1971.1993408203125
180,20240226150001,1928.28173828125
181,20240226151001,1994.3687744140625
182,20240226152001,2052.7412109375
183,20240226153001,1952.7061767578125
184,20240226154001,1971.6622314453125
185,20240226155001,1971.6622314453125
186,20240226160001,1928.28173828125
187,20240226161001,1994.3687744140625
188,20240226162001,2052.7412109375
189,20240226163001,1952.7061767578125
190,20240226164001,1971.6622314453125
191,20240226165001,1971.6622314453125
192,20240327090001,1677.0172119140625
193,20240327091001,1743.104248046875
194,20240327092001,1801.4765625
195,20240327093001,1706.293701171875
196,20240327094001,1699.7537841796875
197,20240327095001,1699.7537841796875
198,20240327100001,1666.014404296875
199,20240327101001,1721.9410400390625
200,20240327102001,1780.3135986328125
201,20240327103001,1687.1597900390625
202,20240327104001,1706.1158447265625
203,20240327105001,1739.55810546875
204,20240327110001,1793.7833251953125
205,20240327111001,1858.85107421875
206,20240327112001,1899.733642578125
207,20240327113001,1787.6357421875
208,20240327114001,1806.591796875
209,20240327115001,1786.6795654296875
210,20240327120001,1738.5325927734375
211,20240327121001,1804.61962890625
212,20240327122001,1860.962890625
213,20240327123001,1765.780029296875
214,20240327124001,1784.736083984375
215,20240327125001,1794.9439697265625
216,20240327130001,1718.93017578125
217,20240327131001,1785.0169677734375
218,20240327132001,1853.5496826171875
219,20240327133001,1753.5147705078125
220,20240327134001,1791.75244140625
221,20240327135001,1797.966796875
222,20240327140001,1739.7545166015625
223,20240327141001,1805.84130859375
224,20240327142001,1864.2138671875
225,20240327143001,1764.178955078125
226,20240327144001,1783.135009765625
227,20240327145001,1783.135009765625
228,20240327150001,1740.2174072265625
229,20240327151001,1806.304443359375
230,20240327152001,1864.6767578125
231,20240327153001,1764.641845703125
232,20240327154001,1783.597900390625
233,20240327155001,1783.597900390625
234,20240327160001,1740.2174072265625
235,20240327161001,1806.304443359375
236,20240327162001,1864.6767578125
237,20240327163001,1764.641845703125
238,20240327164001,1783.597900390625
239,20240327165001,1783.597900390625
240,20240329090001,1673.5748291015625
241,20240329091001,1724.694580078125
242,20240329092001,1783.06689453125
243,20240329093001,1687.884033203125
244,20240329094001,1676.732177734375
245,20240329095001,1676.732177734375
246,20240329100001,1694.3636474609375
247,20240329101001,1745.483154296875
248,20240329102001,1803.855712890625
249,20240329103001,1708.6728515625
250,20240329104001,1697.52099609375
251,20240329105001,1697.52099609375
252,20240329110001,1780.768798828125
253,20240329111001,1831.8883056640625
254,20240329112001,1890.2608642578125
255,20240329113001,1795.0780029296875
256,20240329114001,1783.9261474609375
257,20240329115001,1783.9261474609375
258,20240329120001,1795.8648681640625
259,20240329121001,1846.984375
260,20240329122001,1905.35693359375
261,20240329123001,1810.174072265625
262,20240329124001,1799.022216796875
263,20240329125001,1799.022216796875
264,20240329130001,1778.291259765625
265,20240329131001,1829.4110107421875
266,20240329132001,1887.7833251953125
267,20240329133001,1787.7484130859375
268,20240329134001,1776.5965576171875
269,20240329135001,1776.5965576171875
270,20240329140001,1763.45947265625
271,20240329141001,1814.5792236328125
272,20240329142001,1872.9515380859375
273,20240329143001,1772.9166259765625
274,20240329144001,1761.7647705078125
275,20240329145001,1761.7647705078125
276,20240329150001,1737.0963134765625
277,20240329151001,1788.2158203125
278,20240329152001,1846.58837890625
