"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1002.2","26.1","94","0.2","0","1.0","244","0.0","0.00"
"02","1001.8","26.2","93","0.7","237","2.3","233","0.0","0.00"
"03","1001.7","25.8","94","0.5","227","1.9","204","0.0","0.00"
"04","1001.5","25.8","95","0.6","226","2.0","264","0.0","0.00"
"05","1001.4","25.7","94","0.8","226","2.3","213","0.0","0.00"
"06","1002.0","25.7","93","0.7","229","1.6","224","0.0","0.00"
"07","1002.3","28.4","84","0.8","230","2.4","233","0.0","0.40"
"08","1002.9","30.7","73","0.8","221","2.4","239","0.0","1.20"
"09","1003.0","32.8","63","0.5","223","2.8","288","0.0","2.10"
"10","1002.8","34.1","61","0.3","124","2.1","212","0.0","2.70"
"11","1002.8","33.6","64","0.9","94","3.5","281","0.0","2.70"
"12","1002.2","35.1","51","1.1","67","4.1","77","0.0","3.60"
"13","1001.7","34.5","56","0.7","106","3.1","55","0.0","2.70"
"14","1001.6","31.5","73","0.3","46","3.3","99","0.0","1.00"
"15","1001.9","28.8","82","1.2","227","3.6","204","0.0","0.20"
"16","1001.9","27.8","86","1.0","229","4.1","220","0.0","0.30"
"17","1001.6","28.2","84","1.0","232","3.1","194","0.0","0.40"
"18","1002.1","27.8","87","1.0","230","3.4","223","0.0","0.30"
"19","1002.5","27.1","91","0.6","256","3.5","218","0.0","0.00"
"20","1002.9","26.6","93","0.5","235","2.6","259","0.0","0.00"
"21","1003.0","26.5","95","0.4","237","1.8","240","0.0","0.00"
"22","1003.1","26.2","96","1.0","231","2.9","212","0.0","0.00"
"23","1002.8","26.0","96","0.4","205","2.8","244","0.0","0.00"
"24","1002.1","25.9","95","0.7","249","2.2","207","0.0","0.00"
