"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1010.8","23.2","100","0.0","0","0.0","0","0.0","0.00"
"02","1010.1","23.0","100","0.0","0","0.0","0","0.0","0.00"
"03","1010.0","23.2","100","0.0","0","0.0","0","0.0","0.00"
"04","1010.0","23.0","100","0.0","0","0.6","67","0.0","0.00"
"05","1010.2","22.5","100","0.0","0","0.4","70","0.0","0.00"
"06","1010.9","22.2","100","0.0","0","1.1","75","0.0","0.00"
"07","1011.1","23.0","100","0.0","0","0.6","195","0.0","0.10"
"08","1011.4","25.5","93","0.2","0","1.2","127","0.0","0.80"
"09","1011.2","29.4","74","0.2","0","1.7","203","0.0","1.70"
"10","1010.8","29.2","77","1.0","34","2.9","68","0.0","1.80"
"11","1010.1","29.9","77","1.4","78","5.1","84","0.0","2.10"
"12","1009.5","30.0","79","1.4","70","4.8","34","0.0","3.10"
"13","1008.7","29.2","84","1.6","67","5.5","35","0.0","1.50"
"14","1008.2","28.1","85","1.7","55","5.8","58","0.0","1.10"
"15","1008.1","27.3","87","1.3","59","5.6","76","0.0","0.50"
"16","1008.6","26.9","88","1.6","55","5.5","64","0.0","0.40"
"17","1008.9","26.0","89","1.2","52","5.6","58","0.0","0.10"
"18","1009.2","25.9","88","1.0","55","4.4","46","0.0","0.00"
"19","1009.6","26.1","84","1.4","57","4.8","77","0.0","0.00"
"20","1009.8","26.1","85","1.6","55","5.8","65","0.0","0.00"
"21","1010.1","25.8","86","1.3","48","5.0","90","0.0","0.00"
"22","1010.0","25.7","85","0.9","57","6.6","22","0.0","0.00"
"23","1009.9","25.7","84","0.9","36","5.7","358","0.0","0.00"
"24","1009.4","25.6","83","0.9","57","4.4","63","0.0","0.00"
