"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.9","25.9","96","0.0","0","1.0","215","0.0","0.00"
"02","1005.8","25.8","95","0.1","0","1.4","238","0.0","0.00"
"03","1005.6","25.7","94","0.1","0","1.2","228","0.0","0.00"
"04","1005.7","25.4","96","0.3","242","1.7","253","0.0","0.00"
"05","1006.0","25.2","96","0.4","227","1.1","217","0.0","0.00"
"06","1006.4","25.4","97","0.3","217","1.4","273","0.0","0.00"
"07","1007.0","28.2","87","0.8","215","2.3","206","0.0","0.60"
"08","1007.3","31.3","75","0.9","223","2.8","200","0.0","1.50"
"09","1007.3","33.1","61","1.1","231","3.3","211","0.0","2.20"
"10","1007.4","34.3","60","1.0","271","3.2","211","0.0","2.90"
"11","1007.1","35.6","60","0.6","187","3.3","234","0.0","3.30"
"12","1006.4","35.4","62","0.8","160","2.9","152","0.0","3.60"
"13","1006.3","35.1","65","0.7","160","3.3","101","0.0","3.60"
"14","1006.1","35.3","63","0.7","140","4.1","146","0.0","3.30"
"15","1005.9","34.8","61","0.6","117","3.9","113","0.0","2.60"
"16","1005.6","34.8","64","0.5","161","3.9","133","0.0","2.20"
"17","1005.7","33.1","68","0.4","138","3.8","133","0.0","1.10"
"18","1006.8","30.9","78","0.2","0","3.2","126","0.0","0.20"
"19","1007.1","29.6","81","0.4","229","2.7","224","0.0","0.00"
"20","1007.4","28.0","90","0.0","0","1.2","224","0.0","0.00"
"21","1008.0","27.5","94","0.0","0","0.0","0","0.0","0.00"
"22","1008.2","27.2","96","0.0","0","0.0","0","0.0","0.00"
"23","1007.8","27.1","95","0.3","226","1.5","220","0.0","0.00"
"24","1007.5","26.9","95","0.1","0","1.5","220","0.0","0.00"
