"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1016.4","20.5","78","0.6","12","2.5","348","0.0","0.00"
"02","1016.0","20.0","86","0.0","0","1.4","351","0.0","0.00"
"03","1015.8","20.3","84","0.0","0","2.8","312","0.0","0.00"
"04","1015.5","19.9","86","0.2","0","3.5","328","0.0","0.00"
"05","1015.9","19.7","88","0.0","0","1.2","18","0.0","0.00"
"06","1016.8","19.7","90","0.0","0","1.0","18","0.0","0.00"
"07","1017.4","19.7","95","0.0","0","0.8","18","0.0","0.00"
"08","1017.9","21.3","88","0.0","0","1.3","144","0.0","0.20"
"09","1018.1","22.0","82","0.2","0","1.3","90","0.0","0.30"
"10","1017.5","25.7","67","1.3","17","4.1","6","0.0","1.50"
"11","1017.1","23.9","75","1.6","59","3.9","22","0.0","1.20"
"12","1016.8","24.1","76","1.8","52","5.8","57","0.0","0.70"
"13","1015.9","24.7","77","1.6","41","4.7","44","0.0","0.80"
"14","1015.4","24.9","71","1.3","62","6.8","60","0.0","1.20"
"15","1015.2","23.7","78","1.7","32","5.3","10","0.0","0.60"
"16","1015.5","23.0","82","1.1","40","6.5","8","0.0","0.10"
"17","1016.0","22.6","86","0.8","16","4.7","15","0.0","0.00"
"18","1016.3","22.3","87","0.5","41","3.8","60","0.0","0.00"
"19","1016.8","22.2","90","0.5","33","3.4","85","0.0","0.00"
"20","1017.2","21.4","97","0.7","45","4.2","66","0.0","0.00"
"21","1016.8","21.2","97","0.0","0","3.4","16","0.0","0.00"
"22","1016.7","21.2","99","0.0","0","0.0","0","0.0","0.00"
"23","1016.0","21.1","100","0.0","0","0.7","10","0.0","0.00"
"24","1015.7","21.1","100","0.0","0","0.3","10","0.0","0.00"
