"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","999.7","25.4","97","0.5","220","2.6","252","0.0","0.00"
"02","999.3","25.0","97","0.6","233","2.5","205","0.0","0.00"
"03","999.5","25.1","97","0.4","234","2.4","205","0.0","0.00"
"04","999.5","25.2","97","0.7","232","2.8","226","0.0","0.00"
"05","999.7","25.0","97","0.8","216","2.4","208","0.0","0.00"
"06","1000.3","25.0","96","1.0","239","2.4","211","0.0","0.00"
"07","1000.0","28.0","82","1.0","229","2.8","205","0.0","0.60"
"08","1000.1","31.0","72","0.9","225","2.7","211","0.0","1.50"
"09","1000.5","32.5","66","0.5","195","3.0","296","0.0","2.10"
"10","1000.2","32.9","61","0.1","0","2.1","205","0.0","2.20"
"11","1000.0","34.5","60","0.3","359","1.6","239","0.0","2.80"
"12","999.5","35.4","59","0.6","109","3.4","100","0.0","3.30"
"13","999.0","34.1","66","0.5","118","4.3","81","0.0","3.00"
"14","998.6","34.8","60","0.4","108","5.7","87","0.0","3.00"
"15","998.7","32.7","64","0.3","130","3.4","92","0.0","1.90"
"16","998.7","32.5","66","0.4","122","2.5","145","0.0","0.90"
"17","998.8","32.0","67","0.2","0","1.5","126","0.0","0.60"
"18","999.4","30.4","74","0.0","0","1.9","205","0.0","0.20"
"19","999.9","28.9","83","0.3","261","1.8","293","0.0","0.00"
"20","1000.6","28.6","88","0.0","0","2.1","219","0.0","0.00"
"21","1000.7","28.4","88","0.4","218","2.1","203","0.0","0.00"
"22","1000.6","27.9","89","1.1","243","2.8","250","0.0","0.00"
"23","1000.3","27.4","91","0.4","239","2.5","233","0.0","0.00"
"24","999.7","27.0","90","0.6","217","2.2","270","0.0","0.00"
