"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.8","234","0.0","0.00"
"02","1.8","271","0.0","0.00"
"03","2.3","250","0.0","0.00"
"04","2.0","243","0.0","0.00"
"05","2.3","269","0.0","0.00"
"06","1.9","215","0.0","0.00"
"07","3.0","255","0.0","0.20"
"08","3.5","205","0.0","1.10"
"09","3.2","210","0.0","2.00"
"10","3.3","130","0.0","2.80"
"11","3.3","8","0.0","3.10"
"12","3.2","100","0.0","3.20"
"13","5.1","14","0.0","2.40"
"14","4.9","82","0.0","1.70"
"15","3.1","22","0.0","1.00"
"16","3.5","343","0.0","1.00"
"17","3.8","106","0.0","1.00"
"18","1.9","36","0.0","0.10"
"19","1.5","60","0.0","0.00"
"20","1.0","339","0.0","0.00"
"21","0.9","53","0.0","0.00"
"22","0.5","105","0.0","0.00"
"23","0.3","89","0.0","0.00"
"24","0.4","113","0.0","0.00"
