"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.6","287","0.0","0.00"
"02","1.1","287","0.0","0.00"
"03","0.7","272","0.0","0.00"
"04","0.5","272","0.0","0.00"
"05","0.4","272","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","0.8","271","0.0","0.00"
"08","1.8","207","0.0","0.20"
"09","2.4","193","0.0","0.60"
"10","2.5","236","0.0","0.90"
"11","2.8","246","0.0","1.60"
"12","3.1","185","0.0","2.40"
"13","3.8","204","0.0","2.60"
"14","4.1","90","0.0","2.40"
"15","5.5","7","0.0","0.90"
"16","3.8","34","0.0","0.20"
"17","2.7","42","0.0","0.00"
"18","3.1","304","0.0","0.00"
"19","4.8","12","0.0","0.00"
"20","4.4","61","0.0","0.00"
"21","4.4","44","0.0","0.00"
"22","3.0","51","0.0","0.00"
"23","1.5","27","0.5","0.00"
"24","1.2","36","3.5","0.00"
