"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.9","217","0.0","0.00"
"02","1.0","240","0.0","0.00"
"03","0.8","220","0.0","0.00"
"04","1.4","252","0.0","0.00"
"05","1.6","262","0.0","0.00"
"06","0.5","253","0.0","0.00"
"07","0.8","244","0.0","0.10"
"08","2.4","217","0.0","0.80"
"09","3.2","262","0.0","1.80"
"10","2.4","134","0.0","2.30"
"11","3.0","222","0.0","2.60"
"12","3.3","136","0.0","3.00"
"13","5.0","144","0.0","3.00"
"14","4.5","147","0.0","2.80"
"15","3.9","113","0.0","2.40"
"16","3.0","146","0.0","1.00"
"17","3.3","132","0.0","0.60"
"18","2.2","140","0.0","0.10"
"19","2.1","219","0.0","0.00"
"20","2.4","122","0.0","0.00"
"21","1.4","142","0.0","0.00"
"22","0.8","221","0.0","0.00"
"23","0.5","220","0.0","0.00"
"24","0.0","0","0.0","0.00"
