"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.6","226","0.0","0.00"
"02","0.4","225","0.0","0.00"
"03","0.0","0","0.5","0.00"
"04","0.0","0","0.0","0.00"
"05","0.0","0","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","0.4","226","0.0","0.00"
"08","1.2","219","0.0","0.10"
"09","2.2","198","0.0","0.50"
"10","2.3","197","0.0","0.90"
"11","2.1","230","0.0","1.40"
"12","2.0","197","0.0","1.80"
"13","3.2","317","0.0","1.90"
"14","2.5","164","0.0","0.70"
"15","2.2","136","0.0","0.30"
"16","2.5","269","0.0","0.30"
"17","2.0","284","0.0","0.10"
"18","1.6","205","0.0","0.00"
"19","1.5","310","0.0","0.00"
"20","3.2","210","0.0","0.00"
"21","3.3","194","0.0","0.00"
"22","0.8","61","0.0","0.00"
"23","1.4","354","0.0","0.00"
"24","0.9","72","0.0","0.00"
