"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","2.9","319","0.0","0.00"
"02","3.3","345","0.0","0.00"
"03","2.6","265","0.0","0.00"
"04","2.0","282","0.0","0.00"
"05","1.5","202","0.0","0.00"
"06","1.1","76","0.0","0.00"
"07","0.9","208","0.0","0.00"
"08","1.5","194","0.0","0.10"
"09","2.1","209","0.0","0.20"
"10","2.0","218","0.0","0.40"
"11","1.7","212","0.0","0.80"
"12","2.3","109","0.0","1.60"
"13","3.7","30","0.0","1.80"
"14","4.8","75","0.0","1.10"
"15","2.9","71","0.0","0.10"
"16","1.6","317","0.0","0.10"
"17","0.8","351","0.0","0.00"
"18","0.0","0","0.0","0.00"
"19","0.1","0","0.0","0.00"
"20","0.4","175","0.0","0.00"
"21","1.4","201","0.0","0.00"
"22","1.5","273","0.0","0.00"
"23","1.3","288","0.0","0.00"
"24","0.8","208","0.0","0.00"
