"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.7","87","0.0","0.00"
"02","0.8","34","0.5","0.00"
"03","0.0","0","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.1","0","0.0","0.00"
"06","0.9","34","0.0","0.00"
"07","0.8","34","0.0","0.00"
"08","0.6","34","0.0","0.00"
"09","1.1","33","0.5","0.20"
"10","1.2","45","0.0","0.50"
"11","4.0","76","0.0","0.90"
"12","3.9","69","0.0","0.70"
"13","4.9","68","0.0","0.70"
"14","4.1","67","0.0","0.50"
"15","4.4","87","0.0","0.50"
"16","4.9","24","0.0","0.20"
"17","3.5","2","0.0","0.10"
"18","0.6","165","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.8","256","0.0","0.00"
"21","1.4","269","0.0","0.00"
"22","1.0","240","0.0","0.00"
"23","1.2","218","0.0","0.00"
"24","1.1","253","0.0","0.00"
