"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","3.4","31","0.0","0.00"
"02","4.7","76","0.0","0.00"
"03","4.2","45","2.0","0.00"
"04","5.0","349","1.0","0.00"
"05","5.0","65","1.0","0.00"
"06","6.8","42","1.0","0.00"
"07","4.5","16","1.0","0.00"
"08","2.5","5","0.5","0.00"
"09","2.3","113","0.0","0.20"
"10","1.1","206","0.5","0.40"
"11","1.6","65","0.0","0.60"
"12","2.1","71","0.0","0.70"
"13","1.8","354","0.0","0.40"
"14","2.3","310","0.0","0.40"
"15","2.0","198","0.0","0.30"
"16","1.6","223","0.0","0.20"
"17","1.5","232","0.0","0.00"
"18","1.5","198","0.0","0.00"
"19","1.7","214","0.0","0.00"
"20","1.2","294","0.5","0.00"
"21","1.1","229","0.5","0.00"
"22","4.1","92","0.0","0.00"
"23","2.8","300","0.0","0.00"
"24","2.7","32","0.0","0.00"
