"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1011.7","22.0","97","0.0","0","1.3","219","0.0","0.00"
"02","1011.4","21.9","99","0.0","0","0.9","224","0.0","0.00"
"03","1011.5","22.0","99","0.3","203","1.4","201","0.0","0.00"
"04","1011.6","21.9","99","0.0","0","1.3","211","0.0","0.00"
"05","1011.8","21.9","99","0.1","0","0.9","222","0.0","0.00"
"06","1012.3","21.4","100","0.0","0","0.8","220","0.0","0.00"
"07","1012.9","22.2","99","0.3","218","1.6","238","0.0","0.10"
"08","1013.5","24.1","90","0.6","219","1.9","210","0.0","0.50"
"09","1013.7","25.8","81","0.7","266","1.9","277","0.0","0.80"
"10","1013.6","27.7","74","0.1","0","1.6","219","0.0","1.50"
"11","1013.0","29.0","67","0.3","331","1.7","342","0.0","1.40"
"12","1012.3","29.8","65","0.9","57","3.0","94","0.0","2.70"
"13","1011.7","29.1","68","1.1","74","4.0","97","0.0","1.90"
"14","1011.4","27.4","77","0.5","64","3.2","111","0.0","0.90"
"15","1011.4","26.9","81","0.2","0","2.7","64","0.0","0.50"
"16","1011.5","26.0","84","0.0","0","1.6","305","0.0","0.20"
"17","1011.8","25.2","87","0.0","0","0.9","316","0.0","0.00"
"18","1012.1","24.1","92","0.0","0","0.3","332","0.0","0.00"
"19","1012.3","23.4","95","0.0","0","0.0","0","0.0","0.00"
"20","1012.8","23.2","97","0.0","0","0.0","0","0.0","0.00"
"21","1013.2","22.9","98","0.0","0","0.4","360","0.0","0.00"
"22","1012.9","22.8","99","0.0","0","0.0","0","0.0","0.00"
"23","1012.6","22.9","99","0.2","0","0.9","253","0.0","0.00"
"24","1012.5","23.0","99","0.0","0","0.9","253","0.0","0.00"
