"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1013.3","20.3","100","0.0","0","1.1","213","0.0","0.00"
"02","1013.2","20.0","100","0.0","0","1.0","210","0.0","0.00"
"03","1013.0","20.2","100","0.0","0","0.9","222","0.0","0.00"
"04","1013.0","20.3","100","0.0","0","1.0","209","0.5","0.00"
"05","1013.4","20.1","100","0.0","0","0.4","229","0.0","0.00"
"06","1013.8","20.4","100","0.0","0","0.5","172","0.0","0.00"
"07","1014.4","20.6","100","0.0","0","0.8","200","0.0","0.00"
"08","1014.9","21.4","100","0.0","0","0.7","200","0.0","0.20"
"09","1015.4","22.4","93","0.0","0","1.0","205","0.0","0.50"
"10","1015.4","24.8","67","0.6","47","2.0","74","0.0","1.30"
"11","1015.2","25.3","67","0.9","72","4.1","105","0.0","2.00"
"12","1014.8","25.2","66","1.0","71","3.6","81","0.0","2.00"
"13","1014.0","24.8","67","0.8","53","3.1","5","0.0","0.90"
"14","1013.4","23.8","71","1.1","72","4.5","45","0.0","0.90"
"15","1013.1","23.8","70","0.9","64","3.4","83","0.0","0.60"
"16","1012.7","23.8","72","0.2","0","3.0","75","0.0","0.40"
"17","1013.1","23.0","76","0.2","0","2.2","21","0.0","0.20"
"18","1013.5","22.2","81","0.0","0","1.2","11","0.0","0.00"
"19","1013.8","21.4","87","0.0","0","0.7","2","0.0","0.00"
"20","1014.1","21.1","91","0.0","0","0.3","295","0.0","0.00"
"21","1014.5","20.9","92","0.0","0","0.0","0","0.0","0.00"
"22","1014.9","20.7","93","0.0","0","0.5","320","0.0","0.00"
"23","1014.5","20.8","93","0.0","0","0.0","0","0.0","0.00"
"24","1013.6","20.7","92","0.0","0","0.7","212","0.0","0.00"
