"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1008.9","20.3","99","0.2","0","1.4","247","0.0","0.00"
"02","1008.4","20.0","100","0.3","226","1.4","217","0.0","0.00"
"03","1007.7","19.8","100","0.0","0","1.6","242","0.0","0.00"
"04","1007.7","19.4","100","0.0","0","0.5","252","0.0","0.00"
"05","1007.7","19.5","100","0.5","207","1.8","214","0.0","0.00"
"06","1008.3","19.4","100","0.2","0","2.0","221","0.0","0.00"
"07","1008.3","20.6","100","0.4","213","1.4","252","0.0","0.30"
"08","1008.7","21.5","96","0.1","0","1.6","230","0.0","0.40"
"09","1008.6","24.5","83","0.5","218","2.4","187","0.0","1.00"
"10","1008.1","27.7","69","0.7","20","3.2","349","0.0","2.40"
"11","1007.3","27.2","70","0.9","41","2.9","35","0.0","1.80"
"12","1005.8","27.9","66","0.7","271","2.2","43","0.0","1.60"
"13","1004.3","27.7","68","0.7","99","2.5","107","0.0","1.40"
"14","1003.9","28.3","68","1.1","20","2.7","16","0.0","1.90"
"15","1003.0","27.9","71","0.8","36","2.4","86","0.0","1.00"
"16","1003.3","26.5","78","0.9","50","2.8","71","0.0","0.70"
"17","1004.1","25.5","79","0.6","57","3.4","78","0.0","0.30"
"18","1004.5","24.6","82","0.4","349","3.2","90","0.0","0.00"
"19","1005.0","24.4","89","1.0","52","3.8","29","0.0","0.00"
"20","1006.5","24.0","91","0.0","0","3.9","71","0.0","0.00"
"21","1006.0","23.4","94","0.1","0","1.4","234","0.0","0.00"
"22","1007.6","23.5","95","0.3","269","1.4","259","0.0","0.00"
"23","1008.0","22.8","98","0.1","0","1.7","222","0.0","0.00"
"24","1007.3","22.8","98","0.8","230","2.3","240","0.0","0.00"
