"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.3","24.3","100","0.6","42","3.7","7","3.5","0.00"
"02","1005.3","24.0","100","0.9","48","4.0","33","0.0","0.00"
"03","1004.7","23.4","100","0.0","0","4.2","6","0.5","0.00"
"04","1004.5","23.4","100","0.0","0","0.0","0","0.0","0.00"
"05","1004.4","23.5","100","0.0","0","1.2","204","0.0","0.00"
"06","1004.9","23.4","100","0.0","0","0.8","229","0.0","0.00"
"07","1005.3","23.7","100","0.1","0","1.3","214","0.0","0.10"
"08","1005.9","24.7","100","0.5","223","1.8","206","0.0","0.40"
"09","1006.6","26.9","90","0.7","223","2.5","203","0.0","0.90"
"10","1006.6","30.3","75","0.4","117","2.6","164","0.0","2.10"
"11","1006.0","30.0","77","1.0","71","3.6","107","0.0","2.00"
"12","1005.2","29.4","76","2.0","70","6.0","45","0.0","2.90"
"13","1004.7","26.8","80","1.3","54","6.1","39","0.0","1.80"
"14","1004.2","26.0","83","2.2","65","7.5","21","0.0","0.40"
"15","1004.3","25.7","83","1.4","65","7.3","89","0.0","0.30"
"16","1004.6","25.7","82","1.6","59","6.5","73","0.0","0.20"
"17","1005.3","25.5","84","1.7","65","6.1","69","0.0","0.00"
"18","1005.4","25.5","82","1.7","62","6.6","70","0.0","0.00"
"19","1006.6","25.3","84","0.7","52","3.6","66","0.0","0.00"
"20","1007.3","25.3","84","1.4","58","4.1","39","0.0","0.00"
"21","1007.3","25.1","86","1.2","52","5.8","100","0.0","0.00"
"22","1007.2","24.9","87","1.0","39","7.6","69","0.0","0.00"
"23","1007.2","24.9","87","1.4","55","4.9","60","0.0","0.00"
"24","1006.8","24.6","88","0.9","56","5.2","64","0.0","0.00"
