"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.9","22.9","100","0.4","87","1.7","92","0.0","0.00"
"02","1005.1","23.3","100","0.3","317","2.0","34","0.5","0.00"
"03","1005.4","23.1","100","0.0","0","2.7","332","3.5","0.00"
"04","1005.0","22.9","100","0.5","79","2.4","92","0.0","0.00"
"05","1004.7","23.1","100","1.1","278","4.4","305","2.0","0.00"
"06","1005.8","23.0","100","0.0","0","3.3","284","22.0","0.00"
"07","1006.2","23.2","100","0.0","0","1.5","92","3.5","0.10"
"08","1007.0","23.8","100","0.3","214","2.1","214","0.0","0.30"
"09","1007.4","23.6","100","0.1","0","2.1","233","4.0","0.10"
"10","1008.0","24.3","100","0.0","0","1.0","208","1.5","0.30"
"11","1007.3","25.1","98","0.2","0","1.1","35","0.0","0.80"
"12","1006.9","25.7","98","0.0","0","0.9","204","0.0","0.80"
"13","1006.4","24.3","98","0.0","0","2.1","222","3.0","0.50"
"14","1005.6","25.7","95","0.1","0","1.5","127","0.0","0.90"
"15","1005.6","25.5","96","0.5","265","1.8","343","0.0","0.50"
"16","1006.1","25.6","97","0.0","0","1.1","347","0.0","0.30"
"17","1006.6","24.7","99","0.0","0","0.7","212","1.5","0.10"
"18","1006.7","24.1","100","0.0","0","0.1","0","0.0","0.00"
"19","1007.3","23.7","100","0.0","0","0.7","329","2.0","0.00"
"20","1008.0","23.4","100","0.0","0","0.9","57","2.0","0.00"
"21","1008.2","23.3","100","0.0","0","1.3","121","0.0","0.00"
"22","1008.6","23.2","100","0.2","0","1.6","34","1.0","0.00"
"23","1008.3","23.2","100","0.0","0","1.0","51","2.0","0.00"
"24","1008.0","23.3","100","0.2","0","1.2","214","1.0","0.00"
